feature,permutation_scope,auc_drop_mean,auc_drop_sd,top3_hit_drop_mean,top3_hit_drop_sd,top3_mrr_drop_mean,top3_mrr_drop_sd
current_form_strength_zscore_in_race,within-race,-0.00012112835618249829,0.00025939849125602136,0.002028985507246328,0.0018559780398355818,-0.0002741726872161121,0.001796282586392554
distance_step_down_pct,within-race,0.00019481118693377432,0.00010009640092727686,0.0020289855072463227,0.0009613405189435864,0.00011439285352331519,0.0008920125059550182
historical_market_overperformance_weighted_3_minus_race_mean,within-race,-8.203904660424311e-05,0.00017006773472113502,0.0020289855072463227,0.0017391304347826005,-0.0004200441265658328,0.0010150654472113184
recent_4_distance_m,within-race,0.0004007643482211609,0.00028561325882736415,0.002028985507246317,0.001855978039835607,-0.0007581609212043372,0.0008489007602108125
current_form_strength_minus_race_median,within-race,0.0004130096736028044,0.0004050308181534599,0.0018840579710144468,0.0020547024461967742,-0.0001352387548039291,0.0010287929520491727
second_up_win_rate_rank,within-race,0.00012163821034935073,0.0006319126113616505,0.001884057971014408,0.004101730926981112,-0.001877980714937194,0.0015867205563931785
distance_change_pct_last_run,within-race,1.4935996190512668e-05,0.00015628228921550386,0.0017391304347825765,0.0012634489691422009,0.0003837599598469577,0.0007551071646480842
recent_avg_margin,within-race,-0.00016876155923266633,0.00022280614428972566,0.0017391304347825765,0.0008695652173912883,-0.000489219315306233,0.0012046040579976938
recent_finish_percentile_weighted_6_minus_race_mean,within-race,0.0008777293397178477,0.0005670493240015413,0.0017391304347825708,0.002318840579710123,-0.0008372396524569892,0.0012314104563212408
recent_4_place,within-race,0.0003829418684915042,0.00038665782887094773,0.0017391304347825708,0.0016901309840131097,-0.0009246795877229985,0.0011297615535821237
recent_weighted_avg_place_rank,within-race,9.576350775668541e-05,0.00016659727197587828,0.0017391304347825487,0.0022264190573532145,-0.00046898311028742423,0.0006894440983338725
recent_best_place,within-race,2.8061232330967024e-05,7.081718795171654e-05,0.001739130434782543,0.0008695652173912993,-0.00081553591336197,0.0007693721188400355
recent_2_weight_kg,within-race,-9.699001620711023e-05,0.00020061188317199737,0.0017391304347825376,0.0023188405797101765,0.000238338553555989,0.0009793449558967726
historical_implied_probability_weighted_6,within-race,0.0009373553399344425,0.0004771991015241661,0.001739130434782532,0.00408890897961331,-0.0009848649739953863,0.00206559677677732
recent_min_weight_kg,within-race,-4.982401527543478e-05,0.00024398120870398773,0.0017391304347825153,0.0018101443473618932,-0.00026623376623371997,0.0012712110950405574
abs_distance_minus_recent_weighted_avg,within-race,0.00011579224344091533,0.00013780800517758005,0.001594202898550695,0.0010144927536231696,-0.0015029692529691884,0.000671677000750815
career_place_rate_rank,within-race,-0.00010003423562663372,0.00018352906355202647,0.0015942028985506894,0.0010144927536231705,-0.0005114217505521434,0.0013260451167717742
recent_margin_quality_weighted_6,within-race,7.42381081474619e-05,0.0001041065094647539,0.001594202898550684,0.0007804586677006404,3.785103785108879e-05,0.0006380617562511407
recent_5_margin,within-race,0.0003857586588250639,0.00027881042616820906,0.001594202898550684,0.001769066031265754,-0.0028384091753656414,0.0011961575364907758
recent_last600_slope_3,within-race,-4.888583796633927e-05,0.0003288696680450142,0.0015942028985506563,0.0015130878998421216,0.0005561885779277575,0.0008067060564909956
similar_distance_finish_percentile_weighted,within-race,-0.00015385373537050163,9.16977527260279e-05,0.0015942028985506563,0.0017690660312657698,-0.001187117632769763,0.0007710100073795396
margin_quality_consistency_6,within-race,0.00032139789421675724,0.0002492746872397017,0.0015942028985506506,0.0013672436423270528,-0.00022876398963349033,0.0016285722218205732
condition_top3_rate_smoothed,within-race,0.00038916311822836394,0.0004924243269897917,0.001594202898550634,0.002193151587017606,-0.0014295350382306394,0.0008084339522580365
historical_market_overperformance_avg_3,within-race,2.8886524974791605e-06,0.00013200909979181524,0.0014492753623188193,0.0012962712913042141,6.329540025197255e-05,0.0005773762946636737
recent_1_distance_m,within-race,0.0002716086778535076,0.00014653495103438886,0.0014492753623188137,0.0009166022203386437,0.00047722567287787344,0.0004847136664124358
soft_starts,within-race,-5.4207480599099964e-05,0.00012632580993659356,0.001449275362318808,0.0018332044406773223,-0.0020359177859177514,0.00059573176971001
recent_weight_range_kg,within-race,0.00044823274522571844,0.0002025175078700183,0.0014492753623188027,0.0015876016159570043,0.0009137094789269107,0.0008332212015326124
historical_run_quality_best_3,within-race,-0.00011622775568349563,0.00019332299953216095,0.001449275362318775,0.0014492753623188469,-0.0007437204502421469,0.0011724658285362168
recent_avg_place_5,within-race,-3.5659654745334723e-05,0.0002978566368936529,0.0014492753623187638,0.0015876016159570093,1.220599046741766e-06,0.001002566291417698
current_form_strength_pct_in_race,within-race,5.095989206602702e-05,0.00013793499618512526,0.0013043478260869323,0.00043478260869564417,0.00019924439489662493,0.0004710156353171373
recent_finish_percentile_weighted_6,within-race,0.000109727152762229,9.976181269596851e-05,0.0013043478260869267,0.00043478260869564227,-0.0004927483949222489,0.00039705534914368
recent_finish_percentile_weighted_6_minus_race_median,within-race,0.0005146475501653924,0.00022176829710499922,0.0013043478260869267,0.0017690660312657527,-0.001046388394214426,0.0006128416409124745
current_form_strength_gap_to_best,within-race,1.6735392932343274e-05,0.0002846579646236459,0.0013043478260869213,0.0027074698104738383,-2.2157391722571472e-05,0.0010594382700012915
sectional_closing_speed_ratio_weighted_6,within-race,5.3939414530479454e-05,8.963994679890561e-05,0.0013043478260869213,0.0012038585308576683,-0.0003283696979348716,0.0002003557253269039
class_adjusted_margin_quality_weighted_3,within-race,0.00023162976456604368,0.0002578987193652945,0.001304347826086899,0.0017690660312657503,-0.00031183389879037017,0.0010484394408357346
recent_barrier_percentile_last1,within-race,0.00020975068418183085,0.00023035593677886418,0.0013043478260868935,0.0015130878998420878,-0.0005264739286477804,0.0010747726327422359
recent_finish_percentile_slope_3,within-race,0.0003444873580493391,0.0005097840077089927,0.0013043478260868879,0.0034570609976453796,0.0021314136748919856,0.0016196617493837756
recent_days_since_last_run,within-race,0.00016476958445407197,0.0003143060084090629,0.0013043478260868825,0.002376988328529977,-0.000911005258831299,0.0010487696332429697
distance_change_last_run,within-race,3.4103948059394094e-05,6.223044209429377e-05,0.001159420289855051,0.0008695652173912882,0.0008547221699395869,0.0007980515110281992
recent_margin_quality_last1,within-race,-4.87423201165349e-05,0.00013909710251594726,0.001159420289855051,0.0005797101449275256,5.792396009792755e-05,0.0006558061488260567
wet_rating,within-race,0.0007420083295286873,0.00030632602407589107,0.00115942028985504,0.0019226810378871718,-0.0006868626542539169,0.0009062164728267829
recent_best_class,within-race,0.0002405337816792752,0.00021818683320228938,0.0011594202898549955,0.0012634489691422327,0.0007392925110317027,0.0005616291639020564
historical_step_up_observations,within-race,0.0004191990960279002,0.00018043408899294863,0.0010144927536231585,0.0013043478260869532,0.0005548706526967761,0.0009326242159590132
recent_avg_place,within-race,0.00021088528536078455,0.00017244560323217154,0.0010144927536231585,0.0014565037132059178,-0.0010606060606060286,0.0012119371949384432
historical_run_quality_avg_3,within-race,0.00032423824348157824,0.00019199776521840038,0.001014492753623153,0.0019498005865324108,0.0007983948418731401,0.0011911537137138887
jockey_trainer_history_smoothed_top3_rate_rank_in_race,within-race,0.00032048788882581557,0.00029279472539287053,0.0010144927536231308,0.0013043478260869688,-0.00048018929540667444,0.0008256142505597588
historical_step_up_finish_percentile,within-race,0.00025378787952794467,0.00035372357906438706,0.0010144927536231308,0.0020547024461968107,-0.0013507724159897761,0.0011096629842007393
recent_finish_percentile_weighted_3_minus_race_median,within-race,0.00034452722891497033,0.00016588665925356476,0.001014492753623114,0.0014565037132059434,-0.00029371111979804577,0.0006242916130650961
jockey_trainer_history_top3_rate,within-race,6.30057234346837e-05,0.00022466382879519326,0.001014492753623114,0.0017209191430489837,-0.00039686440773389344,0.0010291485388259328
recent_2_margin,within-race,-5.740970631941122e-05,0.00016094298570090292,0.0010144927536231084,0.0013043478260869796,8.32271593141698e-05,0.0004925402953873368
place_percentage_rank,within-race,-0.00024260790171865,0.00020633885034811866,0.001014492753623103,0.0020547024461968085,-0.002226296248035331,0.0017792361218855973
