feature,direction,total_top3_hits,possible_top3_hits,top3_capture_rate,races_with_3_of_3,races_with_2plus_of_3,races_tested,winner_hits,winner_races_tested,winner_hit_rate,winner_rank_total,mean_winner_rank,winner_top3_hits,winner_top3_rate
distance_minus_recent_avg,DESC,25,81,0.30864197530864196,0,6,27,0,27,0.0,175,6.481481481481482,8,0.2962962962962963
first_up_starts,ASC,25,81,0.30864197530864196,0,6,27,2,27,0.07407407407407407,171,6.333333333333333,7,0.25925925925925924
horse_jockey_win_rate_rank,ASC,25,81,0.30864197530864196,0,6,27,3,27,0.1111111111111111,191,7.074074074074074,5,0.18518518518518517
jockey_market_rank_abs_gap,ASC,25,81,0.30864197530864196,0,6,27,3,27,0.1111111111111111,194,7.185185185185185,6,0.2222222222222222
jockey_trainer_history_runs,ASC,25,81,0.30864197530864196,0,6,27,4,27,0.14814814814814814,143,5.296296296296297,10,0.37037037037037035
place_percentage,DESC,25,81,0.30864197530864196,0,6,27,0,27,0.0,196,7.2592592592592595,4,0.14814814814814814
place_percentage_rank,ASC,25,81,0.30864197530864196,0,6,27,0,27,0.0,196,7.2592592592592595,4,0.14814814814814814
recent_min_weight_kg,DESC,25,81,0.30864197530864196,0,6,27,0,27,0.0,151,5.592592592592593,10,0.37037037037037035
win_percentage,DESC,25,81,0.30864197530864196,0,6,27,0,27,0.0,217,8.037037037037036,4,0.14814814814814814
win_percentage_rank,ASC,25,81,0.30864197530864196,0,6,27,0,27,0.0,217,8.037037037037036,4,0.14814814814814814
current_barrier_percentile,ASC,25,81,0.30864197530864196,0,5,27,5,27,0.18518518518518517,143,5.296296296296297,11,0.4074074074074074
draw_number,ASC,25,81,0.30864197530864196,0,5,27,5,27,0.18518518518518517,142,5.2592592592592595,11,0.4074074074074074
jockey_trainer_synergy,DESC,25,81,0.30864197530864196,0,5,27,3,27,0.1111111111111111,170,6.296296296296297,5,0.18518518518518517
recent_margin_best_3,ASC,25,81,0.30864197530864196,0,5,27,0,27,0.0,188,6.962962962962963,6,0.2222222222222222
recent_margin_quality_best_3,DESC,25,81,0.30864197530864196,0,5,27,0,27,0.0,188,6.962962962962963,6,0.2222222222222222
recent_weighted_avg_margin,ASC,25,81,0.30864197530864196,0,5,27,2,27,0.07407407407407407,182,6.7407407407407405,4,0.14814814814814814
recent_weighted_avg_margin_rank,ASC,25,81,0.30864197530864196,0,5,27,2,27,0.07407407407407407,182,6.7407407407407405,4,0.14814814814814814
recent_weighted_top3_rate,DESC,25,81,0.30864197530864196,0,5,27,2,27,0.07407407407407407,197,7.296296296296297,4,0.14814814814814814
recent_weighted_top3_rate_rank,ASC,25,81,0.30864197530864196,0,5,27,2,27,0.07407407407407407,197,7.296296296296297,4,0.14814814814814814
distance_win_rate_rank,ASC,25,81,0.30864197530864196,0,4,27,1,27,0.037037037037037035,196,7.2592592592592595,4,0.14814814814814814
last3_place_percentage,DESC,25,81,0.30864197530864196,0,4,27,3,27,0.1111111111111111,189,7.0,6,0.2222222222222222
last3_place_percentage_rank,ASC,25,81,0.30864197530864196,0,4,27,3,27,0.1111111111111111,189,7.0,6,0.2222222222222222
recent_1_weight_kg,DESC,25,81,0.30864197530864196,0,4,27,3,27,0.1111111111111111,198,7.333333333333333,8,0.2962962962962963
recent_finish_percentile_best_3,DESC,25,81,0.30864197530864196,0,4,27,0,27,0.0,189,7.0,6,0.2222222222222222
recent_top3_rate_5,DESC,25,81,0.30864197530864196,0,4,27,2,27,0.07407407407407407,196,7.2592592592592595,4,0.14814814814814814
recent_3_place,ASC,25,81,0.30864197530864196,0,3,27,3,27,0.1111111111111111,168,6.222222222222222,7,0.25925925925925924
recent_win_rate_5,DESC,25,81,0.30864197530864196,0,3,27,2,27,0.07407407407407407,190,7.037037037037037,4,0.14814814814814814
heavy_wins,ASC,24,78,0.3076923076923077,0,6,26,0,26,0.0,166,6.384615384615385,6,0.23076923076923078
best_run_within_last_3,DESC,24,78,0.3076923076923077,0,5,26,0,26,0.0,172,6.615384615384615,7,0.2692307692307692
good_wins,ASC,24,78,0.3076923076923077,0,5,26,5,26,0.19230769230769232,144,5.538461538461538,10,0.38461538461538464
current_minus_recent_barrier_percentile,DESC,23,75,0.30666666666666664,2,3,25,1,25,0.04,162,6.48,8,0.32
jockey_trainer_history_wins,DESC,23,75,0.30666666666666664,0,8,25,0,25,0.0,167,6.68,5,0.2
recent_barrier_percentile_weighted_6,DESC,23,75,0.30666666666666664,0,5,25,4,25,0.16,161,6.44,8,0.32
trackExpert,ASC,18,60,0.3,0,5,20,2,20,0.1,120,6.0,4,0.2
recent_4_track_status_value,DESC,9,30,0.3,0,1,10,1,10,0.1,78,7.8,4,0.4
second_up_starts,ASC,24,81,0.2962962962962963,1,6,27,1,27,0.037037037037037035,179,6.62962962962963,8,0.2962962962962963
heavy_starts,ASC,24,81,0.2962962962962963,1,4,27,3,27,0.1111111111111111,168,6.222222222222222,8,0.2962962962962963
recent_best_margin,ASC,24,81,0.2962962962962963,1,4,27,0,27,0.0,223,8.25925925925926,2,0.07407407407407407
career_thirds,ASC,24,81,0.2962962962962963,0,7,27,3,27,0.1111111111111111,148,5.481481481481482,9,0.3333333333333333
jockey_trainer_history_top3,DESC,24,81,0.2962962962962963,0,7,27,0,27,0.0,185,6.851851851851852,3,0.1111111111111111
jockey_trainer_history_top3_rate,DESC,24,81,0.2962962962962963,0,7,27,4,27,0.14814814814814814,161,5.962962962962963,6,0.2222222222222222
race_signal_agreement_rank,ASC,24,81,0.2962962962962963,0,7,27,2,27,0.07407407407407407,217,8.037037037037036,4,0.14814814814814814
second_up_wins,ASC,24,81,0.2962962962962963,0,7,27,3,27,0.1111111111111111,165,6.111111111111111,9,0.3333333333333333
