member,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
1,92,13,92-13,jockey_history_top3_excess,0.145747766,92-27,92-28,92-28,8.3441267,1941.38757,
1,92,14,92-14,hidden_sectional_run_best_3,0.282344282,92-29,92-30,92-30,18.33601,295.862274,
1,92,15,92-15,Leaf,,,,,0.00365070673,2720.2373,
1,92,16,92-16,Leaf,,,,,-0.00290615787,233.040695,
1,92,17,92-17,Leaf,,,,,0.00211856072,3736.14966,
1,92,18,92-18,Leaf,,,,,0.000197026791,8657.41504,
1,92,19,92-19,Leaf,,,,,-0.00272863242,1041.20605,
1,92,20,92-20,Leaf,,,,,6.20344872e-05,6882.15674,
1,92,21,92-21,Leaf,,,,,-0.0101166805,159.481781,
1,92,22,92-22,Leaf,,,,,-0.00196047546,486.378632,
1,92,23,92-23,Leaf,,,,,0.000524937932,112.781784,
1,92,24,92-24,Leaf,,,,,-0.00675224094,960.396545,
1,92,25,92-25,Leaf,,,,,-0.0013129923,1152.85657,
1,92,26,92-26,Leaf,,,,,-0.0120663941,43.1178703,
1,92,27,92-27,Leaf,,,,,-0.00141887774,1862.21448,
1,92,28,92-28,Leaf,,,,,0.00640703738,79.1730728,
1,92,29,92-29,Leaf,,,,,-0.010394644,38.0367584,
1,92,30,92-30,Leaf,,,,,0.00645676348,257.8255,
1,93,0,93-0,recent_margin_quality_weighted_3_minus_race_mean,0.08304739,93-1,93-2,93-1,36.2989922,28234.1387,
1,93,1,93-1,best_finish_percentile_at_equal_or_higher_weight,0.583333313,93-3,93-4,93-4,20.4617615,12988.9043,
1,93,2,93-2,prize_money_rank,2.0,93-5,93-6,93-6,21.783186,15245.2354,
1,93,3,93-3,trainer_history_top3_excess,0.062434379,93-7,93-8,93-8,6.38695145,2255.31348,
1,93,4,93-4,distance_minus_recent_avg,-116.666664,93-9,93-10,93-10,15.9970036,10733.5908,
1,93,5,93-5,good_starts,24.0,93-11,93-12,93-12,12.1515694,1881.90845,
1,93,6,93-6,recent_last600_best_3,34.3600006,93-13,93-14,93-14,19.546093,13363.3262,
1,93,7,93-7,form_class_level_weighted_3,51.6666679,93-15,93-16,93-16,12.6894722,1693.09802,
1,93,8,93-8,form_class_level_weighted_3,70.0,93-17,93-18,93-18,15.6781702,562.215576,
1,93,9,93-9,best_finish_percentile_at_equal_or_higher_weight,0.899999976,93-19,93-20,93-19,8.23444176,1309.61694,
1,93,10,93-10,trainer_history_top3_excess,-0.105769962,93-21,93-22,93-22,13.7361441,9423.97363,
1,93,11,93-11,recent_3_distance_m,3100.0,93-23,93-24,93-24,12.2540741,1574.30933,
1,93,12,93-12,horse_jockey_win_rate_rank,6.0,93-25,93-26,93-26,10.0774059,307.599152,
1,93,13,93-13,recent_margin_std_6,2.91318846,93-27,93-28,93-28,18.7065125,4443.74414,
1,93,14,93-14,distance_minus_recent_avg,-368.333344,93-29,93-30,93-30,15.9912577,8919.58203,
1,93,15,93-15,Leaf,,,,,-0.00686409464,562.698486,
1,93,16,93-16,Leaf,,,,,-0.00224812562,1130.39954,
1,93,17,93-17,Leaf,,,,,0.00171388616,421.225616,
1,93,18,93-18,Leaf,,,,,-0.00764487777,140.989914,
1,93,19,93-19,Leaf,,,,,-0.00169557054,925.890564,
1,93,20,93-20,Leaf,,,,,-0.00605799211,383.72641,
1,93,21,93-21,Leaf,,,,,-0.00721352035,155.524841,
1,93,22,93-22,Leaf,,,,,5.18572888e-05,9268.44922,
1,93,23,93-23,Leaf,,,,,0.00465695374,1538.63489,
1,93,24,93-24,Leaf,,,,,-0.0085931709,35.6743546,
1,93,25,93-25,Leaf,,,,,0.0013418555,241.517578,
1,93,26,93-26,Leaf,,,,,-0.00904053636,66.0815735,
1,93,27,93-27,Leaf,,,,,0.00281192083,3374.92407,
1,93,28,93-28,Leaf,,,,,-0.000970466528,1068.82007,
1,93,29,93-29,Leaf,,,,,-0.0119037842,61.4837151,
1,93,30,93-30,Leaf,,,,,-3.08283416e-05,8858.09863,
1,94,0,94-0,recent_weighted_avg_margin,4.39091301,94-1,94-2,94-2,48.383194,28179.1953,
1,94,1,94-1,jockey_history_top3_excess,0.00162350549,94-3,94-4,94-3,30.3851852,21204.1348,
1,94,2,94-2,trainer_history_top3_excess,-0.00511363614,94-5,94-6,94-5,27.2569008,6975.06006,
1,94,3,94-3,prize_money_rank,4.0,94-7,94-8,94-8,19.8473778,8017.84326,
1,94,4,94-4,good_starts,9.0,94-9,94-10,94-10,29.0269623,13186.292,
1,94,5,94-5,form_class_level_weighted_3,51.0,94-11,94-12,94-11,20.7955284,3036.26318,
1,94,6,94-6,prize_money_rank,4.0,94-13,94-14,94-14,11.9621763,3938.79688,
1,94,7,94-7,recent_margin_quality_weighted_3_minus_race_mean,0.203055322,94-15,94-16,94-16,24.559803,3049.45898,
1,94,8,94-8,good_starts,20.0,94-17,94-18,94-18,15.2069397,4968.38428,
1,94,9,94-9,best_finish_percentile_at_stronger_class,0.636363626,94-19,94-20,94-19,18.3818817,8815.15039,
1,94,10,94-10,good_starts,19.0,94-21,94-22,94-22,9.11115456,4371.1416,
1,94,11,94-11,jockey_history_top3_excess,0.0665925369,94-23,94-24,94-24,16.6939011,1118.70312,
1,94,12,94-12,recent_margin_std_6,5.00256586,94-25,94-26,94-25,10.4146748,1917.56006,
1,94,13,94-13,hidden_sectional_run_best_3_gap_to_best,0.20096688,94-27,94-28,94-27,11.8725567,1332.67883,
1,94,14,94-14,form_class_level_weighted_3,64.0,94-29,94-30,94-29,8.0797863,2606.11816,
1,94,15,94-15,Leaf,,,,,-0.000682247512,1935.02234,
1,94,16,94-16,Leaf,,,,,0.00395884505,1114.43677,
1,94,17,94-17,Leaf,,,,,-0.0011947843,4694.52295,
1,94,18,94-18,Leaf,,,,,-0.00716659566,273.86145,
1,94,19,94-19,Leaf,,,,,0.000919435755,3887.19824,
1,94,20,94-20,Leaf,,,,,0.00322369603,4927.95166,
1,94,21,94-21,Leaf,,,,,0.000405558356,3213.33765,
1,94,22,94-22,Leaf,,,,,-0.00217120256,1157.80408,
1,94,23,94-23,Leaf,,,,,-0.00756961806,934.490295,
1,94,24,94-24,Leaf,,,,,0.000595920894,184.21286,
1,94,25,94-25,Leaf,,,,,-0.000712638663,1350.0979,
1,94,26,94-26,Leaf,,,,,-0.00473853946,567.462158,
1,94,27,94-27,Leaf,,,,,0.00216878345,1250.51111,
1,94,28,94-28,Leaf,,,,,-0.00712894276,82.1676636,
1,94,29,94-29,Leaf,,,,,-0.00228125881,1808.8446,
1,94,30,94-30,Leaf,,,,,0.000724488113,797.273499,
1,95,0,95-0,recent_margin_quality_weighted_3_minus_race_mean,0.0944823027,95-1,95-2,95-1,44.8017159,28117.8184,
1,95,1,95-1,jockey_history_top3_excess,-0.063271746,95-3,95-4,95-4,25.9467297,13548.3359,
1,95,2,95-2,best_finish_percentile_at_stronger_class,0.166666672,95-5,95-6,95-5,17.8267002,14569.4834,
1,95,3,95-3,recent_margin_quality_weighted_3_minus_race_mean,-0.139365047,95-7,95-8,95-8,8.45394135,1330.13354,
1,95,4,95-4,recent_finish_percentile_weighted_6_rank_in_race,6.0,95-9,95-10,95-9,16.6667099,12218.2031,
1,95,5,95-5,jockey_history_top3_excess,0.0995124429,95-11,95-12,95-11,19.8446846,4563.01367,
1,95,6,95-6,good_starts,6.0,95-13,95-14,95-14,22.1429138,10006.4688,
1,95,7,95-7,recent_weighted_avg_margin,5.53689003,95-15,95-16,95-16,7.48276329,277.778595,
1,95,8,95-8,recent_similar_distance_speed_rank,9.0,95-17,95-18,95-17,8.66981316,1052.35498,
1,95,9,95-9,distance_minus_recent_avg,-110.666664,95-19,95-20,95-20,8.48895168,7009.70752,
1,95,10,95-10,form_class_level_weighted_3,53.5999985,95-21,95-22,95-21,23.8174229,5208.49512,
1,95,11,95-11,historical_market_overperformance_slope_3,-0.227964461,95-23,95-24,95-24,15.6004868,3855.17163,
1,95,12,95-12,hidden_sectional_run_best_3_gap_to_best,0.0592928827,95-25,95-26,95-26,12.1267986,707.84198,
1,95,13,95-13,hidden_sectional_run_best_3,0.124371536,95-27,95-28,95-28,30.7013054,4930.9541,
1,95,14,95-14,hidden_sectional_run_best_3_gap_to_best,0.28410691,95-29,95-30,95-30,11.6746149,5075.51465,
1,95,15,95-15,Leaf,,,,,-0.0024701287,102.406067,
1,95,16,95-16,Leaf,,,,,-0.0112830764,175.372528,
1,95,17,95-17,Leaf,,,,,-0.00247991714,945.798279,
1,95,18,95-18,Leaf,,,,,-0.00980106741,106.556664,
1,95,19,95-19,Leaf,,,,,-0.0022777745,842.659485,
1,95,20,95-20,Leaf,,,,,0.000383123144,6167.04785,
1,95,21,95-21,Leaf,,,,,-0.00514827622,1052.47949,
1,95,22,95-22,Leaf,,,,,-0.00094723748,4156.01562,
1,95,23,95-23,Leaf,,,,,-0.00798609573,185.816559,
1,95,24,95-24,Leaf,,,,,-0.000734701229,3669.35522,
1,95,25,95-25,Leaf,,,,,-0.00763380108,48.0369148,
1,95,26,95-26,Leaf,,,,,0.00433610706,659.805054,
1,95,27,95-27,Leaf,,,,,0.00574537506,1436.1322,
1,95,28,95-28,Leaf,,,,,0.0014041604,3494.82202,
1,95,29,95-29,Leaf,,,,,0.000999901444,3858.37036,
1,95,30,95-30,Leaf,,,,,-0.00179813802,1217.14441,
1,96,0,96-0,recent_finish_percentile_rank,5.0,96-1,96-2,96-2,42.1067963,27829.998,
1,96,1,96-1,recent_margin_std_6,1.95593119,96-3,96-4,96-4,23.2905388,17452.7734,
