feature,permutation_scope,auc_drop_mean,auc_drop_sd,top3_hit_drop_mean,top3_hit_drop_sd,top3_mrr_drop_mean,top3_mrr_drop_sd
jockey_trainer_history_top3,within-race,-0.0001547305944163746,0.00010879955120756883,0.0016548463356973464,0.0005790755893104448,0.00020360648020224527,0.0008878895626983324
track_starts,within-race,-0.00019867492855554225,0.00012562369678038456,0.0014184397163120367,0.0013784756252589324,9.902298909391094e-05,0.0006481981109955851
recent_margin_slope_3,within-race,1.810005963567285e-05,0.00029289492971439367,0.0014184397163120254,0.0015681441089151066,0.0007695122056823878,0.0015680763423772297
career_starts,within-race,0.0004967783914264778,0.0002492863894181307,0.0014184397163120143,0.0020336466352346583,0.0010817072341894884,0.0005037263545250493
class_adjusted_finish_percentile_weighted_3_pct_in_race,within-race,2.143056098129481e-05,0.00015247246179831884,0.0014184397163120143,0.000884552573705407,0.00046581406510481926,0.00045972118114410846
same_track_top3_rate,within-race,1.629644584049128e-05,6.613533270653565e-05,0.0014184397163120143,0.0017372267679313254,0.00033170270758920984,0.00033339360903723983
recent_2_starting_price,within-race,-8.880893414031643e-05,0.00013826904658652416,0.0014184397163120143,0.0015681441089150999,0.00016125390238864724,0.00044378687710353905
distance_minus_recent_avg,within-race,-0.0003157190606712712,0.00030495970658024336,0.0014184397163120033,0.0021667024562439232,0.0020730267893388056,0.0006821006613056168
recent_4_place,within-race,-0.00021168115384224696,4.529234624242001e-05,0.0014184397163120033,0.0017372267679313345,0.0006399950194276305,0.0014322857713460304
current_minus_recent_barrier_percentile,within-race,0.00020793964866892,0.00020127944563894394,0.0014184397163119922,0.0022920472139083942,0.00019763399196018883,0.0013442664218306806
recent_market_edge_weighted,within-race,0.002113389773770269,0.0005850271717162421,0.0014184397163119922,0.002033646635234655,-0.00044153115075104,0.0008926773123198603
recent_finish_percentile_last_minus_avg3,within-race,-0.0005835443532556716,0.00017805293241823713,0.0011820330969266935,0.001294852381808885,0.0008170434766179401,0.0008176090086038253
class_change_vs_recent_3,within-race,-3.132651073669557e-05,0.00013863222598629272,0.0011820330969266823,0.000747583371198217,0.0009536175670927683,0.00046829981409851043
recent_max_weight_kg,within-race,-1.2084766036490891e-05,0.0002164295635743126,0.0011820330969266823,0.0016716472368476403,0.0005273016975144706,0.0006200503321994702
historical_market_overperformance_weighted_3_pct_in_race,within-race,0.00026233319950750287,0.00012180306951111564,0.0011820330969266823,0.0016716472368476403,0.0004640080171995131,0.0006845891384320384
career_wins,within-race,-0.00017424377728623153,0.0002241602337341204,0.0011820330969266823,0.0010572425425530688,-0.0004694360013508869,0.0003636003058444967
track_wins,within-race,8.859029675412078e-05,9.148238634713963e-05,0.0011820330969266823,0.002114485085106175,-0.0006800101658258284,0.00033145248314261927
sectional_consistency_6,within-race,-0.00042672520426498826,0.0004228036298069697,0.0011820330969266823,0.0007475833711982346,-0.002506351673018403,0.0014238559428502871
recent_4_distance_m,within-race,0.00015161489093875601,9.42560531449257e-05,0.0011820330969266712,0.001294852381808895,0.0008578950600227175,0.0006031663485774818
best_run_recency_index,within-race,-7.779507905336657e-06,6.427381266437716e-05,0.0011820330969266712,0.0007475833711981819,0.000776483170100184,0.00016448124779654035
recent_margin_quality_weighted_3_rank_in_race,within-race,0.00024315608975773452,0.0002055021508731053,0.0011820330969266712,0.002364066193853437,3.0668044852411036e-05,0.0007548873945686565
historical_run_quality_slope_3,within-race,-0.0004762064976615799,6.51278611908562e-05,0.0011820330969266712,0.0014951667423963903,-0.00035892069580013565,0.0005482993387425429
sectional_ceiling_6,within-race,0.00023836159440890903,0.00039871164431369533,0.0011820330969266712,0.0016716472368476481,-0.0003616491205143957,0.0007554550595911297
recent_finish_percentile_weighted_3_gap_to_best,within-race,-2.9126925538802695e-05,0.00015160238944487484,0.0011820330969266601,0.0016716472368476403,0.00017432068850503635,0.0009364244352966213
recent_5_distance_m,within-race,-0.00012719951800819196,0.0001654163392582277,0.0011820330969266601,0.002364066193853409,0.00015490091731225065,0.0004339286358677391
recent_3_distance_m,within-race,-1.8423338330242344e-06,7.509954921016352e-05,0.0011820330969266601,0.0007475833711981995,0.00012725191803207857,0.00038668458278321165
similar_distance_finish_percentile_weighted_pct_in_race,within-race,-1.591622300931572e-05,0.00011571160153963842,0.0009456264775413615,0.002632512701101668,0.00010383758610709171,0.0003563737954717398
recent_avg_speed_mps,within-race,0.0004380669112266977,0.00025220948587198483,0.0009456264775413392,0.0015681441089150966,0.0010607425146431982,0.0005652203786254341
hidden_sectional_run_best_3_gap_to_best,within-race,-0.0002801178576557595,0.00012797954938920542,0.0009456264775413392,0.0022920472139084124,0.0004562596583872813,0.0007324875415007241
recent_finish_percentile_weighted_3_pct_in_race,within-race,0.0003357147388646231,0.000344250150062121,0.0009456264775413392,0.000884552573705401,0.000367393966684737,0.00033527316927602503
recent_last600_std_6,within-race,-0.00026890860764412495,0.00013937295800210158,0.0009456264775413392,0.0013784756252589324,9.09151263760899e-05,0.00032822386625368396
class_adjusted_finish_percentile_weighted_3_rank_in_race,within-race,0.0001763128218293275,0.00010455623685221085,0.0009456264775413392,0.000884552573705401,-8.02093887200317e-05,0.0009691377714089616
class_adjusted_finish_percentile_last1,within-race,3.328348384621371e-05,7.240525300114405e-05,0.0009456264775413392,0.0013784756252589612,-0.00143014786631811,0.00032839656060861265
