feature,coverage,mean_composite_delta,median_composite_delta,worst_composite_delta,best_composite_delta,positive_folds,nonnegative_folds,alpha_sign_consistency,mean_alpha,mean_absolute_alpha,stable_candidate
form_field_size_weighted_6,0.9820305727926911,0.00029476001164530086,0.00018884261615426112,-0.0001285731138500612,0.0008338829657961178,4,4,5,0.031072043066010913,0.031072043066010913,True
recent_weighted_avg_weight_kg,0.9509624513270684,0.00021067466594220096,0.0001578021642059113,-0.0007112652713784362,0.0010055142038901677,4,4,5,0.013409182305866482,0.013409182305866482,True
form_field_size_weighted_3,0.9820305727926911,0.00013464967812171214,0.00013063603085161635,-0.0007397349586688584,0.000857200772643063,4,4,5,0.036449120219593734,0.036449120219593734,True
recent_4_weight_kg,0.746653090989144,7.254906457943022e-05,0.00018025218450357094,-0.0010163432079093315,0.0008588476664990186,4,4,5,0.015679765216472543,0.015679765216472543,True
recent_6_barrier,0.7820553392314149,0.0011523345100874272,0.0014550541800800731,-0.0011873526611106966,0.0035948614476020158,3,3,3,-0.00483039588220207,0.005112079510263214,False
recent_1_barrier,0.9401477730843848,0.000980071749209488,0.0006195860078515025,-0.0002467349258048479,0.0029584951124242975,4,4,3,-0.003907043726146026,0.005998733876016679,False
form_barrier_percentile_weighted_3,0.9401477730843848,0.0008170706313962217,0.0010373897895421536,-0.0008049947833299598,0.0026260039095401533,3,3,5,-0.017022805467380168,0.017022805467380168,False
form_margin_trend,0.9566862504987685,0.0007141110740860324,0.0016369101266764385,-0.001010483456251765,0.0017778693831882464,3,3,5,0.008835706228253465,0.008835706228253465,False
recent_5_barrier,0.8162055064048762,0.000643782580696306,0.0016540224304695261,-0.0026206964884895045,0.0032646949003185544,3,3,5,-0.011995415723514027,0.011995415723514027,False
speed_rating,0.9907263446112357,0.0005719509326968409,0.0008582124585578832,-0.0008437984254696662,0.0023294270833332797,3,3,5,0.08655629621123022,0.08655629621123022,False
speed_rating_rank,0.9907263446112357,0.0005719509326968409,0.0008582124585578832,-0.0008437984254696662,0.0023294270833332797,3,3,5,-0.08655629621123022,0.08655629621123022,False
horse_jockey_starts,0.9989267876553062,0.0005440048365568994,0.001161101252263541,-0.0021411871208152355,0.002462528467052194,4,4,5,0.0774658141674179,0.0774658141674179,False
recent_win_rate_5,0.9820305727926911,0.0005035412032160513,0.0008271171227508534,-0.001524961743019304,0.0018171574610162944,3,3,5,0.07187447293075715,0.07187447293075715,False
recent_4_place,0.8886610988043314,0.0004945575928521295,0.00044695252157789245,-0.0015178131783198934,0.0024823390228033704,3,3,5,-0.056417813692468545,0.056417813692468545,False
recent_2_place,0.9566862504987685,0.00047015167032495866,0.0004413039539734598,-0.0007781441994195726,0.0020819038312576144,3,3,5,-0.10829246125661127,0.10829246125661127,False
recent_6_distance_m,0.8161642290070034,0.000416907354900431,-0.0002723049278439138,-0.0008282857217618567,0.0018172086715293467,2,2,5,-0.023098178579336465,0.023098178579336465,False
career_place_rate_rank,0.9510450061228141,0.00040114363411956064,1.1265359745049608e-05,-0.003550370417193749,0.00433524220590209,3,3,5,-0.12854419457028438,0.12854419457028438,False
first_up_starts,0.9989267876553062,0.0003811438671356804,0.0006347029652939984,-0.002593705056796347,0.002291456134054237,4,4,5,-0.006555892523823765,0.006555892523823765,False
recent_best_speed_mps,0.9820305727926911,0.0003483245391627143,0.000882014581824242,-0.002389463281484927,0.0022145236967845428,3,3,5,0.046321215621818235,0.046321215621818235,False
recent_best_speed_rank,0.9820305727926911,0.0003483245391627143,0.000882014581824242,-0.002389463281484927,0.0022145236967845428,3,3,5,-0.046321215621818235,0.046321215621818235,False
good_starts,0.9989267876553062,0.0003364951235582447,0.0008142934796845358,-0.0011860629952826773,0.0015606033890906978,3,3,5,-0.005611689036576964,0.005611689036576964,False
second_up_starts,0.9989267876553062,0.00026748357082890807,0.0006287243674846232,-0.0022314860216048338,0.001831081746646368,4,4,5,-0.004880944973698193,0.004880944973698193,False
soft_starts,0.9989267876553062,0.00025792679116372065,0.0003199145629613209,-0.0014962995067386853,0.0017140789436904669,3,3,5,-0.012153434702396404,0.012153434702396404,False
recent_weighted_top3_rate,0.9820305727926911,0.00025360021802667276,0.0005136128064204826,-0.0020296269702673175,0.0030300024500731215,3,3,5,0.15694914290364814,0.15694914290364814,False
recent_weighted_top3_rate_rank,0.9820305727926911,0.00025360021802667276,0.0005136128064204826,-0.0020296269702673175,0.0030300024500731215,3,3,5,-0.15694914290364814,0.15694914290364814,False
place_percentage,0.9989267876553062,0.00025186422096199477,0.00040006168416450993,-0.0031540533010411265,0.003874867818494221,3,3,5,0.14043970157210484,0.14043970157210484,False
place_percentage_rank,0.9989267876553062,0.00025186422096199477,0.00040006168416450993,-0.0031540533010411265,0.003874867818494221,3,3,5,-0.14043970157210484,0.14043970157210484,False
