feature,coverage,mean_composite_delta,median_composite_delta,worst_composite_delta,best_composite_delta,positive_folds,nonnegative_folds,alpha_sign_consistency,mean_alpha,mean_absolute_alpha,stable_candidate
recent_1_total_runners,0.9820305727926911,0.00017287009480991544,0.00015360198847313988,-0.0011239910742477655,0.0011949162433767535,4,4,8,0.030518525309277865,0.030518525309277865,False
recent_4_place,0.8886610988043314,0.00016670472072659315,3.992692713838952e-06,-0.0015626929615819574,0.0024823390228033704,4,4,8,-0.057655576716594006,0.057655576716594006,False
form_field_size_weighted_3,0.9820305727926911,0.00016106561862849755,0.00023139667347471526,-0.001006268344945327,0.001123120597532945,6,6,8,0.03447910058532338,0.03447910058532338,False
horse_jockey_starts,0.9989267876553062,0.00014424612217288357,0.0002464451961111669,-0.0021411871208152355,0.002462528467052194,5,5,8,0.07859723913135813,0.07859723913135813,False
recent_1_track_status_value,0.46146754908570564,0.00014017604469132583,-0.00015456043253769813,-0.001643302866950913,0.004080326488253183,2,3,6,0.004874660113985589,0.005858896809321176,False
weight_drop_after_close_run_flag,1.0,0.00010929100455543683,0.0004237053003572355,-0.0007043277731388908,0.0007153628556483271,5,5,8,0.02061694202834832,0.02061694202834832,False
sectional_closing_speed_ratio_weighted_3,0.8038910827061462,0.00010494385678527784,-0.0002960926024104804,-0.001746541517436806,0.0026758207134470746,3,3,8,0.021858385178676915,0.021858385178676915,False
track_wins,0.9989267876553062,9.46321569271491e-05,0.00018753326786169477,-0.0009509112439540779,0.0006793147390999899,5,5,8,0.0570954993088019,0.0570954993088019,False
career_thirds,0.9989267876553062,8.875418285965442e-05,0.0001286094250945169,-0.002169958329858779,0.002717105490442462,4,4,8,0.035583650899975096,0.035583650899975096,False
large_weight_drop_flag,1.0,7.510173261852937e-05,3.808815614958494e-05,-0.0005123083369265036,0.0005991081127870723,5,6,8,-0.03942607680714809,0.03942607680714809,False
second_up_starts,0.9989267876553062,4.489226952435199e-05,0.00015790993068892645,-0.0022314860216048338,0.001831081746646368,5,5,8,-0.0038003634870173242,0.0038003634870173242,False
recent_2_total_runners,0.9566862504987685,4.037731826053714e-05,0.0003111741168629889,-0.001420871378353561,0.0008326825371540725,5,5,8,0.010158162155416244,0.010158162155416244,False
weight_change_vs_recent_weighted_avg,0.9509624513270684,3.7457160181372795e-05,6.911769251027877e-05,-0.0017584774532979353,0.0013189861838528438,4,4,8,0.04393895407512742,0.04393895407512742,False
recent_days_since_last_run,0.9820305727926911,3.6134558878672673e-05,0.0004242909450901111,-0.0015949318782341182,0.0009152054853225344,5,5,8,-0.038588589198834816,0.038588589198834816,False
recent_min_weight_kg,0.9509624513270684,2.6003340324640134e-05,-0.00016146951983753155,-0.001555406704655593,0.0029138271407374017,2,2,6,0.0063846620243593,0.01061653105627952,False
good_wins,0.9989267876553062,1.7721442166163115e-05,8.725713355228759e-05,-0.001954576973677624,0.0022069142991275603,5,5,8,0.02542149806047424,0.02542149806047424,False
recent_best_place,0.9820305727926911,1.5611449774230457e-05,-0.00018196373977075186,-0.0015493231089652726,0.0017222201139407423,4,4,8,-0.1319105548887109,0.1319105548887109,False
recent_best_margin,0.9820305727926911,6.793814483291305e-06,0.00045309955876920993,-0.005592197785280861,0.0035182888528120237,5,5,8,-0.12906692202776882,0.12906692202776882,False
track_win_rate_rank,0.5871434664758733,5.518259329900799e-07,9.280885143642115e-05,-0.0016506471450342675,0.001024293546613153,5,5,8,-0.061205552694878096,0.061205552694878096,False
distance_m,1.0,0.0,0.0,0.0,0.0,0,8,0,0.0,0.0,False
field_size,1.0,0.0,0.0,0.0,0.0,0,8,0,0.0,0.0,False
active_field_size,1.0,0.0,0.0,0.0,0.0,0,8,0,0.0,0.0,False
current_class_level,0.8673344432366984,0.0,0.0,0.0,0.0,0,8,0,0.0,0.0,False
trainer_history_starts,0.9621073487527346,-2.0361541773483705e-06,-0.00017144243818617566,-0.0023049947833300166,0.002405487084338742,2,2,8,0.10592163480006184,0.10592163480006184,False
recent_wins,1.0,-2.5740888641850868e-06,-0.00015031956256844614,-0.0015441346060578454,0.0015044391610521402,3,3,8,0.0762705689010435,0.0762705689010435,False
jockey_trainer_history_starts,0.706118686278017,-7.184712198030074e-06,0.00014060643313368315,-0.0018162514273140085,0.002753455120837023,5,5,8,0.07876347806409001,0.07876347806409001,False
recent_weighted_avg_weight_kg,0.9509624513270684,-7.508825574278899e-06,0.00014241734226561054,-0.0017507295195391404,0.0017595597209614233,5,5,8,0.010492874295047184,0.010492874295047184,False
recent_runs_count,1.0,-2.275998646211752e-05,-0.00033050976021420375,-0.0011913520973451108,0.0018882230054064753,3,3,8,0.08685355712654483,0.08685355712654483,False
last3_win_percentage,0.9820305727926911,-2.4598152196450562e-05,0.0002609648407221332,-0.0015154723697772265,0.0011242595140007472,5,5,8,0.08757949555452611,0.08757949555452611,False
last3_win_percentage_rank,0.9820305727926911,-2.4598152196450562e-05,0.0002609648407221332,-0.0015154723697772265,0.0011242595140007472,5,5,8,-0.08757949555452611,0.08757949555452611,False
first_up_starts,0.9989267876553062,-2.9678741124333774e-05,0.00020344863297822036,-0.002593705056796347,0.002291456134054237,5,5,8,-0.006938127946799761,0.006938127946799761,False
first_up_wins,0.9989267876553062,-4.173506927135362e-05,0.0003904131926171228,-0.0015422058765894864,0.0014763324813026335,5,5,7,0.009880684668965549,0.012390085341302138,False
soft_wins,0.9989267876553062,-4.3137136721368985e-05,-0.0003914887361300967,-0.0007772206981581098,0.001156406058762438,3,3,7,-0.005814315857040917,0.006407049822705538,False
career_win_rate_rank,0.9510450061228141,-5.582706665707704e-05,6.505854472776962e-05,-0.002081609494002823,0.0018657874989940204,4,4,8,-0.07473698115131353,0.07473698115131353,False
recent_4_distance_m,0.8886610988043314,-7.696217924561821e-05,0.0004575950148658081,-0.0023446434857923304,0.0011602023706295261,5,5,8,-0.023503069805237344,0.023503069805237344,False
heavy_starts,0.9989267876553062,-7.763390791204472e-05,-0.00042437521056409855,-0.002017884442774176,0.002751634603538111,4,4,8,-0.019980152440120167,0.019980152440120167,False
