feature,fold,validation_start,validation_end,training_races,validation_races,coverage,alpha,market_composite,adjusted_composite,composite_delta,top3_recall,ndcg3,pairwise_ranking_accuracy
speed_rating,5,2026-06-13T04:12:01+00:00,2026-06-22T05:30:00+00:00,5410,500,0.9907263446112357,0.08840541852454217,0.6051414175132467,0.60747084459658,0.0023294270833332797,0.5553333333333333,0.5749830807672721,0.7442336309523809
speed_rating,6,2026-06-22T05:45:00+00:00,2026-07-03T05:16:00+00:00,5910,500,0.9907263446112357,0.08957240743408257,0.6023206162626358,0.6036355122474701,0.0013148959848343633,0.55,0.582268923807505,0.7322731251823753
speed_rating,7,2026-07-03T05:20:00+00:00,2026-07-11T07:52:00+00:00,6410,500,0.9907263446112357,0.08679489644057362,0.6080218701209745,0.6071780716955049,-0.0008437984254696662,0.552,0.5775761365472776,0.7471361502347418
speed_rating,8,2026-07-11T08:01:00+00:00,2026-07-22T02:07:00+00:00,6910,500,0.9907263446112357,0.08273082323042157,0.619182764327878,0.6200409767864359,0.0008582124585578832,0.5686666666666667,0.5912965278900031,0.7515340459224069
dry_rating,1,2026-05-01T05:26:00+00:00,2026-05-14T06:40:00+00:00,3410,500,0.9989267876553062,0.2318472157693516,0.5991614550260691,0.5958186601507633,-0.0033427948753057546,0.5373333333333333,0.561832591588865,0.7467753823475216
dry_rating,2,2026-05-14T06:52:00+00:00,2026-05-23T05:39:00+00:00,3910,500,0.9989267876553062,0.21793010242556374,0.6118636575634334,0.6089439398736249,-0.0029197176898084765,0.5506666666666666,0.5807266257256842,0.7537158004354824
dry_rating,3,2026-05-23T05:41:00+00:00,2026-06-03T05:24:00+00:00,4410,500,0.9989267876553062,0.21917919509520248,0.6091878200109806,0.6063613122834213,-0.0028265077275593242,0.5546666666666666,0.5749162957944327,0.7411956200059189
dry_rating,4,2026-06-03T05:32:00+00:00,2026-06-13T04:10:01+00:00,4910,500,0.9989267876553062,0.21697953075211926,0.6168040043789969,0.6135171003286267,-0.003286904050370132,0.5546666666666666,0.5841567235613658,0.7605783444198079
dry_rating,5,2026-06-13T04:12:01+00:00,2026-06-22T05:30:00+00:00,5410,500,0.9989267876553062,0.2201017092607396,0.6051414175132467,0.6058952750097253,0.0007538574964786049,0.5526666666666666,0.5750837042055676,0.7431640625
dry_rating,6,2026-06-22T05:45:00+00:00,2026-07-03T05:16:00+00:00,5910,500,0.9989267876553062,0.21608539562968848,0.6023206162626358,0.5993260914627176,-0.00299452479991813,0.546,0.5765814789721623,0.7287228868787083
dry_rating,7,2026-07-03T05:20:00+00:00,2026-07-11T07:52:00+00:00,6410,500,0.9989267876553062,0.20961937034300698,0.6080218701209745,0.6059232785716788,-0.002098591549295703,0.5513333333333333,0.5757212833007996,0.7453051643192489
dry_rating,8,2026-07-11T08:01:00+00:00,2026-07-22T02:07:00+00:00,6910,500,0.9989267876553062,0.20645883192838055,0.619182764327878,0.6176762303432516,-0.0015065339846264125,0.5646666666666667,0.5908272491639801,0.7505443388756928
wet_rating,1,2026-05-01T05:26:00+00:00,2026-05-14T06:40:00+00:00,3410,500,0.9989267876553062,0.2318472157693516,0.5991614550260691,0.5958186601507633,-0.0033427948753057546,0.5373333333333333,0.561832591588865,0.7467753823475216
wet_rating,2,2026-05-14T06:52:00+00:00,2026-05-23T05:39:00+00:00,3910,500,0.9989267876553062,0.21793010242556374,0.6118636575634334,0.6089439398736249,-0.0029197176898084765,0.5506666666666666,0.5807266257256842,0.7537158004354824
wet_rating,3,2026-05-23T05:41:00+00:00,2026-06-03T05:24:00+00:00,4410,500,0.9989267876553062,0.21917919509520248,0.6091878200109806,0.6063613122834213,-0.0028265077275593242,0.5546666666666666,0.5749162957944327,0.7411956200059189
wet_rating,4,2026-06-03T05:32:00+00:00,2026-06-13T04:10:01+00:00,4910,500,0.9989267876553062,0.21697953075211926,0.6168040043789969,0.6135171003286267,-0.003286904050370132,0.5546666666666666,0.5841567235613658,0.7605783444198079
wet_rating,5,2026-06-13T04:12:01+00:00,2026-06-22T05:30:00+00:00,5410,500,0.9989267876553062,0.2201017092607396,0.6051414175132467,0.6058952750097253,0.0007538574964786049,0.5526666666666666,0.5750837042055676,0.7431640625
wet_rating,6,2026-06-22T05:45:00+00:00,2026-07-03T05:16:00+00:00,5910,500,0.9989267876553062,0.21608539562968848,0.6023206162626358,0.5993260914627176,-0.00299452479991813,0.546,0.5765814789721623,0.7287228868787083
wet_rating,7,2026-07-03T05:20:00+00:00,2026-07-11T07:52:00+00:00,6410,500,0.9989267876553062,0.20961937034300698,0.6080218701209745,0.6059232785716788,-0.002098591549295703,0.5513333333333333,0.5757212833007996,0.7453051643192489
wet_rating,8,2026-07-11T08:01:00+00:00,2026-07-22T02:07:00+00:00,6910,500,0.9989267876553062,0.20645883192838055,0.619182764327878,0.6176762303432516,-0.0015065339846264125,0.5646666666666667,0.5908272491639801,0.7505443388756928
win_percentage,1,2026-05-01T05:26:00+00:00,2026-05-14T06:40:00+00:00,3410,500,0.9989267876553062,0.08435976608261561,0.5991614550260691,0.5980699021643187,-0.0010915528617504444,0.538,0.5662796086572747,0.75
win_percentage,2,2026-05-14T06:52:00+00:00,2026-05-23T05:39:00+00:00,3910,500,0.9989267876553062,0.08237101527280882,0.6118636575634334,0.6125510389432399,0.0006873813798065065,0.554,0.5847488873832976,0.757455268389662
win_percentage,3,2026-05-23T05:41:00+00:00,2026-06-03T05:24:00+00:00,4410,500,0.9989267876553062,0.08048665702934008,0.6091878200109806,0.6079657926689928,-0.0012220273419878414,0.5553333333333333,0.5777319681505693,0.7434645358587353
win_percentage,4,2026-06-03T05:32:00+00:00,2026-06-13T04:10:01+00:00,4910,500,0.9989267876553062,0.07151182637614044,0.6168040043789969,0.614722394884994,-0.002081609494002823,0.556,0.5846482639450018,0.7622413155949741
win_percentage,5,2026-06-13T04:12:01+00:00,2026-06-22T05:30:00+00:00,5410,500,0.9989267876553062,0.07578676779873518,0.6051414175132467,0.6050319399293262,-0.0001094775839204365,0.5513333333333333,0.5735529829315906,0.7439081101190477
win_percentage,6,2026-06-22T05:45:00+00:00,2026-07-03T05:16:00+00:00,5910,500,0.9989267876553062,0.07327572148637547,0.6023206162626358,0.6035740696995155,0.00125345343687977,0.55,0.582023153615687,0.7322731251823753
win_percentage,7,2026-07-03T05:20:00+00:00,2026-07-11T07:52:00+00:00,6410,500,0.9989267876553062,0.07067453696195294,0.6080218701209745,0.6099111317983723,0.00188926167739778,0.556,0.579475513108982,0.7481690140845071
win_percentage,8,2026-07-11T08:01:00+00:00,2026-07-22T02:07:00+00:00,6910,500,0.9989267876553062,0.06804146868400207,0.619182764327878,0.6189600802423674,-0.00022268408551062713,0.5673333333333334,0.5901344619037528,0.7510391923990499
place_percentage,1,2026-05-01T05:26:00+00:00,2026-05-14T06:40:00+00:00,3410,500,0.9989267876553062,0.138706960353241,0.5991614550260691,0.5995261524825647,0.0003646974564955885,0.5406666666666666,0.5671398043286373,0.7496314722682882
place_percentage,2,2026-05-14T06:52:00+00:00,2026-05-23T05:39:00+00:00,3910,500,0.9989267876553062,0.13744105325408051,0.6118636575634334,0.6081564478112071,-0.0037072097522262704,0.548,0.5808272491639803,0.7557985420808483
place_percentage,3,2026-05-23T05:41:00+00:00,2026-06-03T05:24:00+00:00,4410,500,0.9989267876553062,0.1373903369192743,0.6091878200109806,0.6085826413472505,-0.0006051786637301104,0.5566666666666666,0.5776313447122732,0.7433658873433955
place_percentage,4,2026-06-03T05:32:00+00:00,2026-06-13T04:10:01+00:00,4910,500,0.9989267876553062,0.1394049595849999,0.6168040043789969,0.6136499510779557,-0.0031540533010411265,0.5546666666666666,0.5831175426710247,0.762148928307465
place_percentage,5,2026-06-13T04:12:01+00:00,2026-06-22T05:30:00+00:00,5410,500,0.9989267876553062,0.14248197486546388,0.6051414175132467,0.6090162853317409,0.003874867818494221,0.5573333333333333,0.5765138020412492,0.7448846726190477
place_percentage,6,2026-06-22T05:45:00+00:00,2026-07-03T05:16:00+00:00,5910,500,0.9989267876553062,0.1429974952856309,0.6023206162626358,0.6045175417697851,0.0021969255071493388,0.552,0.5815538748896645,0.7325162921894758
place_percentage,7,2026-07-03T05:20:00+00:00,2026-07-11T07:52:00+00:00,6410,500,0.9989267876553062,0.1409024421279606,0.6080218701209745,0.6059633895170176,-0.002058480603956969,0.552,0.5738441683967088,0.7460093896713615
place_percentage,8,2026-07-11T08:01:00+00:00,2026-07-22T02:07:00+00:00,6910,500,0.9989267876553062,0.13641163599646883,0.619182764327878,0.6195828260120425,0.00040006168416450993,0.5686666666666667,0.5905031171914796,0.7504948535233571
prize_money,1,2026-05-01T05:26:00+00:00,2026-05-14T06:40:00+00:00,3410,500,0.9989267876553062,0.10717226001981835,0.5991614550260691,0.5995310431587793,0.00036958813271015245,0.54,0.5673410512052293,0.7507831214298876
prize_money,2,2026-05-14T06:52:00+00:00,2026-05-23T05:39:00+00:00,3910,500,0.9989267876553062,0.10073865043549099,0.6118636575634334,0.6094225406805363,-0.0024411168828971652,0.5506666666666666,0.5811736427940942,0.7551831865947174
prize_money,3,2026-05-23T05:41:00+00:00,2026-06-03T05:24:00+00:00,4410,500,0.9989267876553062,0.09313461138272872,0.6091878200109806,0.6120699384162627,0.0028821184052820747,0.5613333333333334,0.5811620659862505,0.7444510210121338
prize_money,4,2026-06-03T05:32:00+00:00,2026-06-13T04:10:01+00:00,4910,500,0.9989267876553062,0.09144081328893554,0.6168040043789969,0.6161397204363043,-0.0006642839426925784,0.558,0.5861789852189793,0.7623798965262379
prize_money,5,2026-06-13T04:12:01+00:00,2026-06-22T05:30:00+00:00,5410,500,0.9989267876553062,0.08842256816690919,0.6051414175132467,0.6068758367656777,0.0017344192524310076,0.554,0.5750837042055679,0.7444196428571429
prize_money,6,2026-06-22T05:45:00+00:00,2026-07-03T05:16:00+00:00,5910,500,0.9989267876553062,0.08871662439556638,0.6023206162626358,0.6028214554214998,0.0005008391588640082,0.5486666666666666,0.5819225301773912,0.7320299581752748
prize_money,7,2026-07-03T05:20:00+00:00,2026-07-11T07:52:00+00:00,6410,500,0.9989267876553062,0.09081737530964676,0.6080218701209745,0.6067139486997806,-0.0013079214211939583,0.5513333333333333,0.5774755131089816,0.7467136150234742
prize_money,8,2026-07-11T08:01:00+00:00,2026-07-22T02:07:00+00:00,6910,500,0.9989267876553062,0.08584199760202454,0.619182764327878,0.6195419443975999,0.0003591800697219094,0.5673333333333334,0.5909278726022762,0.7525732383214568
career_starts,1,2026-05-01T05:26:00+00:00,2026-05-14T06:40:00+00:00,3410,500,0.9989267876553062,0.005737912342830054,0.5991614550260691,0.5995907803822049,0.00042932535613582345,0.54,0.5678103299312519,0.7505527915975677
career_starts,2,2026-05-14T06:52:00+00:00,2026-05-23T05:39:00+00:00,3910,500,0.9989267876553062,0.001863615753308503,0.6118636575634334,0.6088464963169307,-0.003017161246502753,0.55,0.5805814789721625,0.75480450629556
career_starts,3,2026-05-23T05:41:00+00:00,2026-06-03T05:24:00+00:00,4410,500,0.9989267876553062,-0.0022773764917762384,0.6091878200109806,0.6090587311782696,-0.00012908883271101068,0.5573333333333333,0.5785476405067056,0.743020617539706
career_starts,4,2026-06-03T05:32:00+00:00,2026-06-13T04:10:01+00:00,4910,500,0.9989267876553062,-0.007042558962770709,0.6168040043789969,0.6147764364464261,-0.0020275679325707507,0.556,0.5844024937531839,0.7627032520325203
career_starts,5,2026-06-13T04:12:01+00:00,2026-06-22T05:30:00+00:00,5410,500,0.9989267876553062,-0.0070686825649740334,0.6051414175132467,0.6041924191617207,-0.0009489983515259537,0.5506666666666666,0.5727373105754542,0.7426990327380952
