phase,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,objective_value,a1_weight,top3_weight
global_simplex,0.20202020202020202,0.520027864855451,0.41939500473983315,4.111111111111111,0.20202020202020202,0.81,0.19
global_simplex,0.20202020202020202,0.5186346220828979,0.41886095347432944,4.12156043190526,0.20202020202020202,0.82,0.18
global_simplex,0.2006269592476489,0.5182863113897597,0.4176837713932814,4.130616509926854,0.2006269592476489,0.83,0.17
global_simplex,0.1988854057819575,0.5148032044583769,0.415979562061068,4.142110762800418,0.1988854057819575,0.84,0.16
global_simplex,0.19993033786137235,0.5130616509926855,0.41609578112974266,4.14977359804946,0.19993033786137235,0.85,0.15
global_simplex,0.19923371647509577,0.5120167189132706,0.4157553401936904,4.156043190525949,0.19923371647509577,0.86,0.14
global_simplex,0.19853709508881923,0.5092302333681644,0.414851105877753,4.167537443399512,0.19853709508881923,0.87,0.13
global_simplex,0.19609892023685127,0.5078369905956113,0.4131705971570143,4.180424939045628,0.19609892023685127,0.88,0.12
global_simplex,0.19470567746429815,0.5047021943573667,0.41158147359819386,4.193660745384883,0.19470567746429815,0.89,0.11
global_simplex,0.19505398815743644,0.5043538836642285,0.4112503938261528,4.2002786485545105,0.19505398815743644,0.9,0.1
global_simplex,0.1940090560780216,0.5033089515848137,0.41012929463817827,4.210727969348659,0.1940090560780216,0.91,0.09
global_simplex,0.19331243469174503,0.5026123301985371,0.40948464728506684,4.21664925113201,0.19331243469174503,0.92,0.08
global_simplex,0.19261581330546848,0.4994775339602926,0.4084770380747408,4.225008707767328,0.19261581330546848,0.93,0.07
global_simplex,0.1905259491466388,0.49773598049460116,0.40696106594748355,4.235458028561477,0.1905259491466388,0.94,0.06
global_simplex,0.19017763845350052,0.49703935910832464,0.40638360149854574,4.243120863810519,0.19017763845350052,0.95,0.05
global_simplex,0.1891327063740857,0.49703935910832464,0.4055708601163164,4.250087077673284,0.1891327063740857,0.96,0.04
global_simplex,0.1887843956809474,0.49703935910832464,0.4051951821544314,4.254615116684082,0.1887843956809474,0.97,0.03
global_simplex,0.1887843956809474,0.49634273772204807,0.40514954877546483,4.255660048763497,0.1887843956809474,0.98,0.02
global_simplex,0.1887843956809474,0.49634273772204807,0.40514954877546483,4.255660048763497,0.1887843956809474,0.99,0.01
global_simplex,0.1853012887495646,0.4952978056426332,0.4025527406143933,4.274468826192964,0.1853012887495646,1.0,0.0
refinement_1,0.23545802856147685,0.5841170323928945,0.46066596915604374,3.614420062695925,0.23545802856147685,0.0,1.0
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.001,0.999
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.002,0.998
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.003,0.997
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.004,0.996
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.005,0.995
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.006,0.994
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.007,0.993
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.008,0.992
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.009,0.991
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.01,0.99
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.011,0.989
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.012,0.988
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.013,0.987
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.014,0.986
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.015,0.985
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.016,0.984
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.017,0.983
refinement_1,0.23719958202716823,0.5844653430860327,0.4616672580099971,3.6119818878439567,0.23719958202716823,0.018,0.982
refinement_1,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.019,0.981
refinement_1,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.02,0.98
refinement_1,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.021,0.979
refinement_1,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.022,0.978
refinement_1,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.023,0.977
refinement_1,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.024,0.976
refinement_1,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.025,0.975
refinement_1,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.026,0.974
refinement_1,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.027,0.973
refinement_1,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.028,0.972
refinement_1,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.029,0.971
refinement_1,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.03,0.97
refinement_1,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.031,0.969
refinement_1,0.23719958202716823,0.5841170323928945,0.46163823211890226,3.6123301985370952,0.23719958202716823,0.032,0.968
refinement_1,0.23719958202716823,0.5837687216997561,0.46160920622780743,3.6126785092302334,0.23719958202716823,0.033,0.967
refinement_1,0.23719958202716823,0.5837687216997561,0.46160920622780743,3.6126785092302334,0.23719958202716823,0.034,0.966
refinement_1,0.23719958202716823,0.5837687216997561,0.4616060397669607,3.6130268199233715,0.23719958202716823,0.035,0.965
refinement_1,0.23719958202716823,0.5837687216997561,0.4615998199331547,3.61337513061651,0.23719958202716823,0.036,0.964
refinement_1,0.23719958202716823,0.5837687216997561,0.4615998199331547,3.61337513061651,0.23719958202716823,0.037,0.963
refinement_1,0.23719958202716823,0.5837687216997561,0.46160562511137365,3.61337513061651,0.23719958202716823,0.038,0.962
refinement_1,0.23719958202716823,0.5837687216997561,0.46160562511137365,3.61337513061651,0.23719958202716823,0.039,0.961
refinement_1,0.23719958202716823,0.5837687216997561,0.4615994052775676,3.613723441309648,0.23719958202716823,0.04,0.96
refinement_1,0.23719958202716823,0.5837687216997561,0.46153196720072515,3.614768373389063,0.23719958202716823,0.041,0.959
refinement_1,0.23719958202716823,0.5837687216997561,0.46160121468376575,3.614420062695925,0.23719958202716823,0.042,0.958
refinement_1,0.23719958202716823,0.5837687216997561,0.46160121468376575,3.614420062695925,0.23719958202716823,0.043,0.957
refinement_1,0.23719958202716823,0.5837687216997561,0.46159775922054014,3.614420062695925,0.23719958202716823,0.044,0.956
refinement_1,0.23719958202716823,0.5837687216997561,0.46159775922054014,3.614420062695925,0.23719958202716823,0.045,0.955
refinement_1,0.23754789272030652,0.5834204110066179,0.4616558110027299,3.6154649947753397,0.23754789272030652,0.046,0.954
refinement_1,0.23754789272030652,0.5834204110066179,0.4616558110027299,3.6154649947753397,0.23754789272030652,0.047,0.953
refinement_1,0.23754789272030652,0.5834204110066179,0.4616218092445901,3.6154649947753397,0.23754789272030652,0.048,0.952
refinement_1,0.23754789272030652,0.5834204110066179,0.46163341960102805,3.615116684082201,0.23754789272030652,0.049,0.951
refinement_1,0.23754789272030652,0.5834204110066179,0.46165567278420083,3.614420062695925,0.23754789272030652,0.05,0.95
refinement_1,0.23789620341344478,0.5834204110066179,0.46184143848720793,3.613723441309648,0.23789620341344478,0.051,0.949
refinement_1,0.23789620341344478,0.5834204110066179,0.46183466577928584,3.613723441309648,0.23789620341344478,0.052,0.948
refinement_1,0.23789620341344478,0.5837687216997561,0.4618241486057592,3.6126785092302334,0.23789620341344478,0.053,0.947
refinement_1,0.23789620341344478,0.5837687216997561,0.4618241486057592,3.6126785092302334,0.23789620341344478,0.054,0.946
refinement_1,0.23789620341344478,0.5837687216997561,0.4618067330711023,3.6130268199233715,0.23789620341344478,0.055,0.945
refinement_1,0.23789620341344478,0.5837687216997561,0.46187003715739483,3.6123301985370952,0.23789620341344478,0.056,0.944
refinement_1,0.23789620341344478,0.5837687216997561,0.4618683785350466,3.6126785092302334,0.23789620341344478,0.057,0.943
refinement_1,0.23789620341344478,0.5834204110066179,0.4617813008617621,3.61337513061651,0.23789620341344478,0.058,0.942
refinement_1,0.23789620341344478,0.5834204110066179,0.46179346409231603,3.613723441309648,0.23789620341344478,0.059,0.941
refinement_1,0.23789620341344478,0.5834204110066179,0.46179346409231603,3.613723441309648,0.23789620341344478,0.06,0.94
refinement_1,0.23789620341344478,0.5834204110066179,0.461816684805192,3.6140717520027863,0.23789620341344478,0.061,0.939
refinement_1,0.23789620341344478,0.5834204110066179,0.461816684805192,3.6140717520027863,0.23789620341344478,0.062,0.938
refinement_1,0.23824451410658307,0.5830721003134797,0.4618382681601086,3.6140717520027863,0.23824451410658307,0.063,0.937
refinement_1,0.23824451410658307,0.5830721003134797,0.46178021637791883,3.614420062695925,0.23824451410658307,0.064,0.936
refinement_1,0.23824451410658307,0.5830721003134797,0.4617665327435455,3.614768373389063,0.23824451410658307,0.065,0.935
