feature,permutation_scope,auc_drop_mean,auc_drop_sd,top1_drop_mean,top1_drop_sd,mrr_drop_mean,mrr_drop_sd,race_logloss_increase_mean,race_logloss_increase_sd,winner_rank_increase_mean,winner_rank_increase_sd
historical_market_overperformance_weighted_3_pct_in_race,within-race,-0.0005801427644386958,0.00072474182520878,0.0006666666666666655,0.005734883511361749,0.0002480112480112706,0.0028331715620386255,-0.0012108534377397006,0.001496639375541742,0.01599999999999966,0.014204850501774764
recent_finish_percentile_rank,within-race,-3.093229504651518e-05,0.0004137992620571624,0.002666666666666662,0.001333333333333331,0.00023294853294856255,0.001560563685066962,-0.0013501673407727566,0.0007925575258894632,-0.005333333333333634,0.0097979589711326
recent_finish_percentile_weighted_3_pct_in_race,within-race,0.0006772658446895896,0.00018949203747116274,0.001999999999999999,0.002666666666666666,0.00020442520442524038,0.0014029669147913666,0.0010535372610186223,0.0005309771038078105,0.014666666666666295,0.00805536398239617
distance_step_down_m,within-race,-0.00019186675319058378,0.00013009480855851713,-2.7755575615628915e-18,0.0047140452079103175,0.00017568542568543454,0.0028930991190464135,-0.0002481312576070316,0.00032200471170826,0.007999999999999475,0.013432961119739864
historical_market_overperformance_avg_6,within-race,0.000373242483235936,0.0002557297785140919,-0.0013333333333333363,0.0016329931618554558,0.00016630591630593106,0.001093680844926051,0.001170257760282123,0.0004486366847587138,0.01266666666666616,0.009285592184789348
recent_4_distance_m,within-race,-2.2928834090407692e-05,0.0002672195152903219,0.0,0.0,0.00015377585377587266,0.0005417496449068815,-0.00010328107785690932,0.0006472229183657786,0.005333333333332924,0.010666666666666791
horse_jockey_wins,within-race,-0.00026779147739564024,0.0002827132922369349,0.0,0.0,0.00014867724867727582,0.00021901279021729775,-0.00037154303938686796,0.00046363804592224604,-3.552713678800501e-16,0.004714045207910174
current_weight_minus_recent_avg,within-race,0.00040179537097115856,0.00024087769154686647,0.0006666666666666626,0.002494438257849294,0.00013898508898512184,0.0013695751918226776,0.0007117732159737322,0.00031275118774993225,0.012666666666665983,0.01019803902718548
same_track_runs,within-race,0.00011572571922988662,0.00013068761638994195,0.0,0.0,0.00012489177489177772,0.0001822777739824736,0.0001879996254652738,0.00017207221983576063,0.001333333333333009,0.006863753427324549
recent_avg_speed_mps,within-race,8.67402119835603e-05,0.000722374646765801,-0.004666666666666669,0.003399346342395187,0.00012338772338772453,0.0021835786242131393,-0.0012376873549057698,0.0012773723464529897,0.025999999999999624,0.008273115763993838
recent_1_total_runners,within-race,-0.00011291369240757909,0.00018382842488548089,0.0,0.0,9.975949975949971e-05,0.00021025705982007865,-0.000272094846999682,0.00032063395893184866,0.005333333333332924,0.006531972647421941
career_thirds,within-race,-6.0566731559852375e-06,5.696220785277645e-05,0.0,0.0,9.531024531024279e-05,5.2266440527091406e-05,3.6606764093427556e-05,0.00017880028378414412,0.005333333333332746,0.0016329931618552721
