phase,top1_hit_rate,top3_hit_rate,mrr,mean_winner_rank,objective_value,a0_weight,a1_weight,c1_weight,c2_weight,c3_weight,b1_weight,b2_weight,b3_weight,b4_weight,b5_weight,b6_weight
global_simplex,0.3469868173258004,0.7017419962335216,0.5570855297859142,2.9459745762711864,0.7017419962335216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.0,0.0,0.429
global_simplex,0.3472222222222222,0.7100988700564972,0.559201072389627,2.9084274952919023,0.7100988700564972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.0,0.143,0.286
global_simplex,0.3478107344632768,0.713394538606403,0.5609536282338143,2.8834745762711864,0.713394538606403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.0,0.286,0.143
global_simplex,0.3495762711864407,0.711864406779661,0.5614595152245178,2.8800612052730696,0.711864406779661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.0,0.429,0.0
global_simplex,0.3471045197740113,0.7035075329566854,0.5575243938944469,2.9319679849340865,0.7035075329566854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.143,0.0,0.286
global_simplex,0.347575329566855,0.7080979284369114,0.5592697313345233,2.906779661016949,0.7080979284369114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.143,0.143,0.143
global_simplex,0.3481638418079096,0.713394538606403,0.5604183419243417,2.888653483992467,0.713394538606403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.143,0.286,0.0
global_simplex,0.344515065913371,0.6993879472693032,0.5547732729318156,2.946563088512241,0.6993879472693032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.286,0.0,0.143
global_simplex,0.3426318267419962,0.702683615819209,0.5544945959891202,2.9303201506591336,0.702683615819209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.286,0.143,0.0
global_simplex,0.3316854990583804,0.6877354048964218,0.5437457104388589,3.0116525423728815,0.6877354048964218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.429,0.0,0.0
global_simplex,0.347575329566855,0.7024482109227872,0.5582624056538209,2.9323210922787193,0.7024482109227872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.0,0.0,0.286
global_simplex,0.3488700564971751,0.707274011299435,0.5598071457667112,2.9111346516007535,0.707274011299435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.0,0.143,0.143
global_simplex,0.3482815442561205,0.708921845574388,0.5603473531660287,2.8986581920903953,0.708921845574388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.0,0.286,0.0
global_simplex,0.3476930320150659,0.7050376647834274,0.5583709712682141,2.9267890772128062,0.7050376647834274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.143,0.0,0.143
global_simplex,0.347575329566855,0.7066854990583804,0.5588729937997214,2.9140772128060264,0.7066854990583804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.143,0.143,0.0
global_simplex,0.3426318267419962,0.7008003766478342,0.5538343163166591,2.9477401129943503,0.7008003766478342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.286,0.0,0.0
global_simplex,0.3487523540489642,0.7020951035781544,0.5586467954714743,2.9305555555555554,0.7020951035781544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,0.0,0.0,0.143
global_simplex,0.3492231638418079,0.7036252354048964,0.5594208762243681,2.9200800376647833,0.7036252354048964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,0.0,0.143,0.0
global_simplex,0.347575329566855,0.7025659133709982,0.5579622257058674,2.929613935969868,0.7025659133709982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,0.143,0.0,0.0
global_simplex,0.3488700564971751,0.7000941619585688,0.5583865693902744,2.934322033898305,0.7000941619585688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
global_simplex,0.3396892655367232,0.6787900188323918,0.5473914500309242,3.0535546139359697,0.6787900188323918,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.857
global_simplex,0.3408662900188324,0.692208097928437,0.5513261957426826,3.0049435028248586,0.692208097928437,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.143,0.714
global_simplex,0.3431026365348399,0.7018596986817326,0.5551294985616981,2.9475047080979286,0.7018596986817326,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.286,0.571
