model,member,importance_type,feature,value
a0,1,cover,open_price,4708.4130859375
a0,1,cover,fluc1,4759.4765625
a0,1,cover,fluc2,6283.24169921875
a0,1,cover,recent_weighted_avg_margin_rank,5186.9189453125
a0,1,cover,recent_best_margin,4233.0859375
a0,1,cover,trainer_recent_top3_excess,289.7405090332031
a0,1,cover,trackExpert,646.1187744140625
a0,1,cover,race_number,1748.5589599609375
a0,1,cover,field_size,1605.5087890625
a0,1,cover,speed_rating,2445.400634765625
a0,1,cover,dry_rating,2568.2548828125
a0,1,cover,prize_money,1086.513916015625
a0,1,cover,heavy_starts,1007.5884399414062
a0,1,cover,second_up_starts,1913.19873046875
a0,1,cover,recent_1_place,430.0267639160156
a0,1,cover,recent_1_distance_m,2060.52197265625
a0,1,cover,recent_1_weight_kg,590.7057495117188
a0,1,cover,recent_1_barrier,235.3609619140625
a0,1,cover,recent_1_margin,489.7398681640625
a0,1,cover,recent_1_total_runners,1640.2276611328125
a0,1,cover,recent_2_distance_m,441.3462829589844
a0,1,cover,recent_2_margin,340.66412353515625
a0,1,cover,recent_3_place,1806.8704833984375
a0,1,cover,recent_3_barrier,1236.1533203125
a0,1,cover,recent_4_place,4933.1474609375
a0,1,cover,recent_4_weight_kg,315.63531494140625
a0,1,cover,recent_4_starting_price,522.5148315429688
a0,1,cover,recent_4_margin,546.3619384765625
a0,1,cover,recent_5_distance_m,539.66650390625
a0,1,cover,recent_5_starting_price,131.35321044921875
a0,1,cover,recent_5_margin,31.416248321533203
a0,1,cover,recent_5_total_runners,1893.83740234375
a0,1,cover,recent_6_place,82.21573638916016
a0,1,cover,recent_6_distance_m,599.0867309570312
a0,1,cover,recent_6_barrier,676.3108520507812
a0,1,cover,recent_6_track_status_value,4068.9755859375
a0,1,cover,recent_6_starting_price,1129.72705078125
a0,1,cover,recent_6_margin,54.65183639526367
a0,1,cover,goodGroundPro,4578.35400390625
a0,1,cover,softGroundPro,312.1788024902344
a0,1,cover,market_open_to_fluc1_move,3146.604248046875
a0,1,cover,market_open_to_fluc2_move,3167.975830078125
a0,1,cover,market_fluc1_to_fluc2_move,777.304443359375
a0,1,cover,market_open_to_fluc1_move_pct,1384.5611572265625
a0,1,cover,market_open_to_fluc2_move_pct,2998.30517578125
a0,1,cover,market_fluc1_to_fluc2_move_pct,2384.731689453125
